CustomerID,Recency,Frequency,Monetary,R,F,M,RFM_Score
12346,326,1,77183.6,1,1,4,6
12347,2,6,3598.2100000000005,4,4,4,12
12348,75,3,784.44,2,3,3,8
12349,19,1,1457.5500000000002,3,1,3,7
12350,310,1,294.40000000000003,1,1,1,3
12352,36,7,1385.7400000000002,3,4,3,10
12353,204,1,89.0,1,1,1,3
12354,232,1,1079.3999999999999,1,1,3,5
12355,214,1,459.4,1,1,2,4
12356,23,3,2487.43,3,3,4,10
12357,33,1,6207.67,3,1,4,8
12358,2,2,928.06,4,2,3,9
12359,58,4,6310.030000000001,2,3,4,9
12360,52,3,2302.0600000000004,2,3,4,9
12361,287,1,174.89999999999998,1,1,1,3
12362,3,10,4737.2300000000005,4,4,4,12
12364,8,4,1208.1,4,3,3,10
12365,291,1,320.68999999999994,1,1,2,4
12367,4,1,150.89999999999998,4,1,1,6
12370,51,2,1677.6699999999998,2,2,4,8
12371,60,1,1527.96,2,1,3,6
12372,72,3,1196.04,2,3,3,8
12373,311,1,324.6,1,1,2,4
12374,25,1,622.93,3,1,2,6
12375,11,2,377.50000000000006,4,2,2,8
12377,315,1,546.6,1,1,2,4
12378,130,1,4008.62,1,1,4,6
12379,82,2,777.2399999999998,2,2,3,7
12380,22,4,2427.81,3,3,4,10
12381,5,3,1474.81,4,3,3,10
12383,185,4,1072.84,1,3,3,7
12384,29,2,425.27,3,2,2,7
12386,338,1,143.0,1,1,1,3
12388,16,6,2780.6600000000003,4,4,4,12
12390,80,1,504.8400000000001,2,1,2,5
12391,22,1,439.66,3,1,2,6
12393,72,4,1582.6000000000001,2,3,3,8
12394,64,2,1080.48,2,2,3,7
12395,19,10,2092.7099999999996,3,4,4,11
12397,36,2,2214.9000000000005,3,2,4,9
12398,46,1,1435.6599999999999,3,1,3,7
12399,119,4,1033.65,2,3,3,8
12401,303,1,69.3,1,1,1,3
12402,323,1,195.6,1,1,1,3
12403,50,1,391.7,2,1,2,5
12405,149,1,1390.3900000000003,1,1,3,5
12406,22,2,3415.3,3,2,4,9
12407,50,5,1507.1200000000001,2,4,3,9
12408,33,5,2618.5499999999997,3,4,4,11
12409,79,3,11072.67,2,3,4,9
12410,309,2,533.3299999999999,1,2,2,5
12412,75,3,1142.88,2,3,3,8
12413,67,3,686.1,2,3,3,8
12414,217,3,442.41,1,3,2,6
12415,24,20,124564.53,3,4,4,11
12417,3,8,2964.7599999999998,4,4,4,12
12418,113,1,668.58,2,1,3,6
12420,64,1,600.3900000000001,2,1,2,5
12421,16,4,639.0400000000001,4,3,2,9
12422,96,3,683.5599999999998,2,3,3,8
12423,1,7,1441.38,4,4,3,11
12424,163,2,1760.9599999999996,1,2,4,7
12425,78,1,777.1999999999999,2,1,3,6
12426,195,1,510.72999999999996,1,1,2,4
12427,22,2,450.3,3,2,2,7
12428,26,8,6405.26,3,4,4,11
12429,9,3,2250.9,4,3,4,11
12430,43,1,216.4,3,1,1,5
12431,36,13,5608.5,3,4,4,11
12432,43,4,4359.319999999999,3,3,4,10
12433,1,5,9588.75,4,4,4,12
12434,85,2,806.14,2,2,3,7
12435,80,2,7829.890000000001,2,2,4,8
12436,100,1,429.01,2,1,2,5
12437,2,18,4447.41,4,4,4,12
12438,14,2,2466.85,4,2,4,10
12442,3,1,144.06,4,1,1,6
12444,21,5,4085.46,3,4,4,11
12445,22,1,77.4,3,1,1,5
12446,58,1,1002.3100000000001,2,1,3,6
12447,243,1,431.49,1,1,2,4
12448,44,1,365.4500000000001,3,1,2,6
12449,22,4,3596.29,3,3,4,10
12450,156,2,197.88,1,2,1,4
12451,11,5,8995.52,4,4,4,12
12452,17,1,348.57,4,1,2,7
12453,134,1,707.0899999999999,1,1,3,5
12454,56,1,3528.34,2,1,4,7
12455,73,5,2339.8599999999988,2,4,4,10
12456,44,3,2581.04,3,3,4,10
12457,66,6,2043.2299999999996,2,4,4,10
